Area or Hotel,Loop,Loop Total Length,Loop Notes,Track Number,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,8," Rudolph the Red-Nosed
  Reindeer ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:44.122,,8,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,9, White Christmas ,Jack Jezzro & Sam Levine,Christmas In The Fifties, 4:08.983,,9,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,10, A Holly Jolly Christmas ,Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:12.006,,10,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,11, Santa Baby ,Jack Jezzro & Sam Levine,Christmas In The Fifties, 4:16.219,,11,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,12," Please Come Home for
  Christmas ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 4:05.128,,12,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,13, The Christmas Song (Chestnuts Roasting on an Open Fire),"""The Surf Christmas Band""",Surf Christmas, 3:52.870,,,,,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,14, Frosty the Snowman,The Ventures ,The Ventures' Christmas Album, 1:58.482,,,,,,Christmas
Disneyland Hotel,Trader Sam's [REF],01:58:49,Compiled by C33 (MouseBits; 2012 and MagicMusic; 2012),1,Sunset On the Kona Kai,The Tikiyaki Orchestra,Swingin' Sounds for the Jungle Jetset!,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,2,Martinique,Martin Denny,Martin Denny: 50 Classic Tracks,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,3,Return to Moorea,Martini Kings,Dance of the Virgins,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,4,Tiki Diva,Kenny Sasaki & The Tiki Boys,Tiki Moon,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,5,Bustin' Surfboards,The Tornadoes,Bustin' Surfboards,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,6,Makaha,The Tikiyaki Orchestra,Swingin' Sounds for the Jungle Jetset,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,7,Ali'i Fire Dance,The Tikiyaki Orchestra,Stereo Exotique,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,8,Peaceful Easy Feeling,Jim “Kimo” West,Hotel Honolulu: The Hawaiian Tribute to the Eagles,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,9,Theme From Hawaii Five-O,Soundtrack & Theme Orchestra,50 Classic TV Themes,,Correct source yet to be determined,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,10,Stranded In Paradise,The Tikiyaki Orchestra,Stereo Exotique,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,11,The Perfect Wave,The Mel-Tones,Surf Sensation,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,12,Blue Hawaii,All Star Hawaiian Band,Steel Guitar Magic: Hawaiian Style,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,13,Caravan,80 Drums Around The World,"Ultra-Lounge, Vol. 1: Mondo Exotica",,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,14,Pearly Shells (Popo O Ewa),New Hawaiian Band,"Hawaii's Greatest Hits, Vol. 2",,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,15,Hypnotique,Martin Denny,"Ultra-Lounge, Vol. 1: Mondo Exotica",,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,16,Pipeline,The Chantays,Pipeline,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,17,Tiny Bubbles,New Hawaiian Band,"Hawaii's Greatest Hits, Vol. 2",,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,18,Last Sampan to Kowloon,The Tikiyaki Orchestra,Swingin' Sounds for the Jungle Jetset!,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,19,Mele Ka ‘Aeko,Jim “Kimo” West,Hotel Honolulu: The Hawaiian Tribute to the Eagles,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,20,Tiki Cabana,The Mel-Tones,Surf Sensation,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,21,Moonlight Time in Old Hawaii,Ford's Magic Skyway,Walt Disney and the 1964 World's Fair,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,22,Exotica ‘97,Don Tiki & Martin Denny,The Forbidden Sounds of Don Tiki,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,23,Tequila Sunrise,Jim “Kimo” West,Hotel Honolulu: The Hawaiian Tribute to the Eagles,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,24,Adventures in Paradise,The Waitiki 7,Adventures in Paradise,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,25,Erotica Exotica,Kenny Sasaki & The Tiki Boys,Tiki Pop,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,26,Song of the Islands (Na Lei O Hawaii),Arthur Lyman,Hawaiian Sunset,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,27,Chant of the Moon,Robert Drasnin,Exotic Excursion,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,28,"Black Sand, Blue Sea",The Tikiyaki Orchestra,Stereoexotique,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,29,Tradewind,Eden Ahbez,Eden's Island,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,30,Yellow Bird,Arthur Lyman,Yellow Bird,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,31,Sleepwalk,Santo & Johnny,,,Correct source yet to be determined,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,32,At the Tiki Bar,Kenny Sasaki & The Tiki Boys,Tiki Moon,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,33,Dan-o's Day Off,The Tikiyaki Orchestra,Swingin' Sounds for the Jungle Jetset!,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,34,Tiki Hut,Miles Corbin,Sounds from the Tiki Hut,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,35,Misirlou,Martin Denny,"Ultra-Lounge, Vol. 1: Mondo Exotica",,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,36,Tune from Rangoon,Martin Denny,Martin Denny: 50 Classic Tracks,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,37,Enchantment,Robert Drasnin,Voodoo!,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,38,Ruby,The Waitiki 7,New Sounds of Exotica,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,39,Fly Me To The Island,Kenny Sasaki & The Tiki Boys,Island Slumber,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,40,"Hawaiian War Chant (Instrumental
  Version)",Walt Disney's Enchanted Tiki Room,,,Never produced for commercial sale.,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,41,Pineapple Princess,Santo & Johnny,Hawaii,,,,,,"May 25, 2011",
Disneyland Hotel,Trader Sam's [REF],,,42,Taboo Tu,Arthur Lyman,Taboo 2: New Exotic Sounds of Arthur Lyman,,,,,,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],59:40,"Playlist compiled by pixelated (MouseBits; 2012) Additional information provided by wedroy1923 based on his 2011 blog regarding the Tokyo Disneyland Enchanted Tiki Room queue music, which shares tracks with this loop. Also see Magic Music: https://community.magicmusic.net/playlists/tangaroa-terrace.81/.",1,Ua Haavarevare,The South Sea Serenaders,Beachcomber Serenade,3:01.946,Starts with ~0.5 second silent gap,,,Viking,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,2,The Far Lands,The South Sea Serenaders,Beachcomber Serenade,3:46.954,,,,Viking,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,3,Beyond the Reef,Percy Faith and His Orchestra,Shangri-La!,2:50.714,,,,Collectables,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,4,The Moon of Manakoora,Percy Faith and His Orchestra,Shangri-La!,2:59.745,,,,Collectables,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,5,My Tane,,"Webley Edwards Presents ""Hawaii Calls"": Soft Hawaiian Guitars",2:39.775,,,,ST-2917,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,6,Trade Winds,,"Webley Edwards Presents ""Hawaii Calls"": Soft Hawaiian Guitars",3:18.880,,,,ST-2917,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,7,Little Brown Gal,Ohta-San,Ukulele Isle,2:25.349,,,,Universal Japan,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,8,Medley: Aloha My Tani / Aloha Oe (Farewell to Thee),Living Strings,Hawaiian Memories,4:43.129,"Album track edited to use 00:00 - 02:54, 02:15 - End",,,RCA Camden – CAS-2373,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,9,My Isle of Golden Dreams,Living Strings,Hawaiian Memories,5:40.814,,,,RCA Camden – CAS-2373,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,10,Ukelele Lady,Duke Kamoku & His Islanders,Golden Hawaiian Hits,2:37.786,,,,Gnp,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,11,Song of the Islands,Duke Kamoku & His Islanders,Golden Hawaiian Hits,3:20.783,,,,Gnp,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,12,Silver Moon,Leo Addeo & His Orchestra,Musical Orchids from Hawaii,2:26.264,,,,RCA Camden - CAS-977,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,13,Orchids from Hawaii,Leo Addeo & His Orchestra,Musical Orchids from Hawaii,2:46.322,,,,RCA Camden - CAS-977,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,14,Hawaiian Memories,Living Strings,Hawaiian Memories,3:43.057,,,,RCA Camden – CAS-2373,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,15,Pearly Shells,Living Strings,Hawaiian Memories,2:50.499,,,,RCA Camden – CAS-2373,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,16,Hawaiian Rose,Webley Edwards,"Webley Edwards Presents ""Hawaii Calls"": Soft Hawaiian Guitars",2:28.677,,,,ST-2917,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,17,Lei of Stars,Webley Edwards,"Webley Edwards Presents ""Hawaii Calls"": Soft Hawaiian Guitars",2:21.999,,,,ST-2917,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,18,Kalena Kai,Webley Edwards,"Webley Edwards Presents ""Hawaii Calls"": Soft Hawaiian Guitars",1:31.278,,,,ST-2917,"May 25, 2011",
Disneyland Hotel,Tangaroa Terrace [REF],,,19,"To You Sweetheart, Aloha",Living Strings,Hawaiian Memories,4:05.858,,,,RCA Camden – CAS-2373,"May 25, 2011",
Disneyland Hotel,Adventure Tower [REF],00:32:26.066,Compiled by pixelated (MouseBits; 2011),1,Overture,George Bruns,The Jungle Book OST,2:31.178,fade to next track at around 2:31.368,1,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,2,Jungle Beat,George Bruns,The Jungle Book OST,1:16.845,"starts at 0.675, fades to next track at 1:17.521",9,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,3,Adventureland,Disneyland Concert Orchestra,Walt Disney Takes You to Disneyland,6:38.922,"starts at 1:00.189. Sometime after 2:08 in the loop track (right before the oboes come in), the loop track is longer by 0.173 secs. The last 1.5 secs. of the track overlaps with the first 1.5 secs. of the following track, ""Serengeti Serenade"".",2,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,4,Serengeti Serenade,International Gardens,Walt Disney and the 1964 World's Fair,4:04.137,starts at 0.500,5,4,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,5,Under the Stars (Instrumental),Hans Zimmer,The Lion King OST,3:40.050,quick fade in at 1.445,8,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,6,The Courtship,James Newton Howard,Dinosaur OST,2:53.545,"starts at 0.345, cut-off at 2:53.891",4,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,7,Epilogue,James Newton Howard,Dinosaur OST,2:25.616,starts at 0.535,16,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,8,The Bare Necessities (Instrumental),,"Disney Karaoke, Vol. 2",3:58.123,"starts at 2.088; 1.065 sec. of silence deleted, between 2:47.164 and 2:48.229",13,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,9,The Tiki Tiki Tiki Room,Pizzafari Area Music,Walt Disney World Forever,3:03.962,,,,,"August 1, 2011",
Disneyland Hotel,Adventure Tower [REF],,,10,I Wan'na Be Like You (The Monkey Song) (Instrumental),,"Disney Karaoke, Vol. 1",1:52.978,,13,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],00:48:06,Compiled by Pixelated (MouseBits; 10/2011),1,High Noon,Ned Nash Orchestra,The Greatest Western Movie Themes,2:52.514,,8,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,2,Variation of Andy's Birthday,,Toy Story Midway Mania Area Music,2:36.604,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,3,Unknown instrumental segment,,Toy Story Midway Mania Area Music,1:11.259,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,4,Instrumental variation of Woody's Roundup,,Toy Story Midway Mania Area Music,1:44.173,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,5,Stagecoach (Opening and Closing Titles),City of Prague Philharmonic,Western Film Themes: The Essential Album,2:29.912,Edited; The loop version is cutoff at 2:30.260 of the album version.,18,1,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,6,Tombstone: Final Credits,"Bruce Broughton, Orchestra of the Americas","Wild, Wild Westerns",1:07.048,Edited,5,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,7,How the West Was Won: Suite,"Bruce Broughton, Orchestra of the Americas","Wild, Wild Westerns",3:24.032,"The loop track has a short crossfade to the following track; the closing swell quickly fades into the orchestral chord that starts the Silverado ""Main Title"" track.",3,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,8,Main Title,Bruce Broughton,Silverado OST,2:46.290,"The loop version starts at 25.449 of the album version and is cutoff at 3:11.739 of the album version. Less likely, the loop version is from the 2005 expanded 2-CD soundtrack album, disc 1, track 1. That results in the loop version starting at 25.828 of the album version, stopping at 3:12.119 of the album version, and running 0.303 secs. slower than the album version.",1,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,9,The Hallelujah Trail (Overture),"James Sedares, Phoenix Symphony",Elmer Bernstein: The Magnificent Seven,1:42.282,The loop version is cutoff at 1:42.976 of the album version.,16,,Koch Records,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,10,The Big Country,The Philharmonic Orchestra,The Big Country: Music by Jerome Moross,02:47.324,The track is from the 2007 Silva Screen Records UK release. The track is not from the Silva Screen Records USA release (runtime of 3:14) and not from the La La Land Records Limited Edition CD (runtime of 3:21).,1,,Silva Screen Records UK,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,11,Anthology of TV Western Themes - Bonanza,"Erich Kunzel, Cincinnati Pops",Round-Up,00:59.829,The loop version has a sharp fade at 59.508 of the album version and is missing the timpani in that section of music. The loop version is cutoff at 1:00.127 of the album version.,5,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,12,Jessie and the Roundup Gang,Randy Newman,Toy Story 2 OST,00:44.975,The loop version starts at 1.402 of the album version and is cutoff at 46.378 of the album version. The loop version also runs 0.008 secs. faster than the album version.,9,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,13,Unknown instrumental segment,,Toy Story Midway Mania Area Music,00:49.773,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,14,Unknown instrumental segment,,Toy Story Midway Mania Area Music,00:51.236,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,15,Main Titles and Calvera’s Visit: Allegro con Fuoco,"James Sedares, Phoenix Symphony",Elmber Bernstein: The Magnificent Seven,3:19.774,The loop version starts at 2.008 secs. of the album version and is cutoff at 3:21.782.,1,,Koch Records,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,16,We’ll Be Back (End Credits),Bruce Broughton,Silverado OST,4:19.562,"The loop version runs 0.014 secs. slower than the album version. Less likely, the loop version is from the 2005 expanded 2-CD soundtrack album, disc 2, track 6. That results in the loop version running 0.383 secs. slower than the album version.",12,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,17,The Comancheros (Main Title Theme),City of Prague Philharmonic,Western Film Themes: The Essential Album,1:34.816,The loop version starts at 1:00.354 of the album version.,8,2,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,18,Medley of Television Western Themes: The Big Valley/Have Gun Will Travel,"Erich Kunzel, Cincinnati Pops",Happy Trails,2:03.123,The loop version starts at 5:07.358 of the album version to isolate those two themes. The loop version runs about 0.009 secs. faster than the album version.,21,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,19,We’re Out of Gas,Alan Silvestri,Back to the Future III OST,00:27.172,The loop version starts at 25.231 of the album version and is cutoff at 52.404 of the album version.,14,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,20,The Cowboys (Main Theme),City of Prague Philharmonic,Western Film Themes: The Essential Album,3:23.426,The loop version is cutoff at 3:23.802 of the album version.,3,1,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,21,Unknown instrumental segment,,Toy Story Midway Mania Area Music,1:24.156,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,22,Unknown instrumental segment,,Toy Story Midway Mania Area Music,2:31.011,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,23,Unknown instrumental segment,,Toy Story Midway Mania Area Music,0:45.913,,,,,"August 1, 2011",
Disneyland Hotel,Frontier Tower [REF],,,24,The Suns of Katie Elder (Main Theme),City of Prague Philharmonic,Western Film Themes: The Essential Album,2:10.018,,17,1,,"August 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,01:16:17,"Based on a reference recording by CThaddeus from August 2010 and compiled by C33 (MouseBits; 2012). The starting track is based on CThaddeus' recording; there are large gaps between many of the songs (particularly the Just the Music tracks) which makes it difficult to tell where the loop starts and ends, although there's an argument for saying it would sort of make sense for Be Our Guest to be track 1. Many of the Orchestral Collection tracks are edited in a similar fashion to their appearances in other DLH loops. Loop removed in either 2010 or 2011.",1,Circle of Life,,"Disney's Orchestral Collection, Vol. 3 ",,,2,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,2,The Colors of the Wind,,"Disney's Orchestral Collection, Vol. 3 ",,,16,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,3,Cruella de Vil,,"Disney's Orchestra Collection, Vol. 2",,,5,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,4,A Dream is a Wish Your Heart Makes,,"Disney's Orchestra Collection, Vol. 2 ",,,14,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,5,Under the Sea,,"Disney's Orchestra Collection, Vol. 3 ",,,10,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,6,Someday My Prince Will Come,,"Disney's Orchestra Collection, Vol. 2 ",,,17,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,7,Saludos Amigos,,"Disney's Orchestra Collection, Vol. 3 ",,,14,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,8,When You Wish Upon a Star,,"Just the Music, Vol. 1 ",,,1,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,9,Beauty and the Beast,,"Just the Music, Vol. 1 ",,,2,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,10,Reflection,,"Just the Music, Vol. 1 ",,,3,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,11,A Dream is a Wish Your Heart Makes,,"Just the Music, Vol. 1 ",,,4,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,12,When She Loved Me,,"Just the Music, Vol. 1 ",,,5,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,13,Part of Your World,,"Just the Music, Vol. 1 ",,,6,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,14,Just Around the Riverbend,,"Just the Music, Vol. 1 ",,,7,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,15,You'll Be In My Heart,,"Just the Music, Vol. 1 ",,,8,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,16,What Child Is This,,"Just the Music, Vol. 1 ",,,9,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,17,Once Upon a Dream,,"Just the Music, Vol. 1 ",,,10,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,18,Hero of the Story,,"Just the Music, Vol. 1 ",,,11,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,19,A Gift to You,,"Just the Music, Vol. 1 ",,,12,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,20,Bogeyman Boogie,People of Earth,Dr. Steel,,"It's an extremely odd choice and it's hard to believe that played at the hotel for 9 years or so, but yes this was in the reference recording.",,,,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,21,If I Never Knew You,,"Just the Music, Vol. 1 ",,,12,,"NorthSound Music Group, Inc., Walt Disney Records","January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,22,Be Our Guest,,"Disney's Orchestra Collection, Vol. 1 ",,,14,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,23,A Spoonful of Sugar,,"Disney's Orchestra Collection, Vol. 1 ",,,15,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,24,You Can Fly! You Can Fly! You Can Fly!,,"Disney's Orchestra Collection, Vol. 2 ",,,12,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.1,,,25,Go The Distance,,"Disney's Orchestra Collection, Vol. 2 ",,,18,,Japan Publications Trading Co.,"January 1, 2001 → January 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,56:09.288,Compiled by wedroy1923 and pixelated (MouseBits; 2012),1,Fantasyland Castle Medley,,Walt Disney Records Presents: The Official Album (1997),5:38,Crossfades into next track,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,2,Return to Neverland Main Title,Joel Neely,Return to Neverland Motion Picture Soundtrack,2:02,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,3,Whistle While You Work,Neverland Orchestra,Disney's Orchestra Collection Vol. 3,02.30,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,4,it's a small world Entrance ,,Walt Disney and the 1964 Word's Fair,03:03,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,5,Painting the Roses Red,,,02:05,Extended cut of the same version that appeared on the Walt Disney World Forever system. Crossfades into next track.,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,6,A Dream is a Wish Your Heart Makes,The Royal Philharmonic Orchestra ,The Royal Philharmonic Orchestra Visits Magical Movieland,02:22,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,7,Dress Building,Mack David,The Music of Disney's Cinderella,,Second part of the album track,9,,Walt Disney Records,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,8,Snow White and the Seven Dwarfs Overture,,Snow White and the Seven Dwarfs OST,02:08,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,9,Magical House Cleaning / Blue or Pink,,Sleeping Beauty OST,~02.41,Edited to include 00.00 - ~02.42,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,10,Someday My Prince Will Come,Neverland Orchestra,Disney's Orchestra Collection Volume 2,02:22,Edited to include ~00.56 - 03.19 of 03.23,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,11,A Cottage in the Woods,,Sleeping Beauty OST,02:05,Edited to include 01:22 - End,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,12,Casey Junior / Dumbo's Triumph,,Casey Junior Circus Train attraction at Disneyland,01:30,"The first portion is unique to the attraction, edited to include the crest of the hill ""I think I can"" through the ""Dumbo's Triumph"" segment. Only sound effects, though, are the whistles that play on the attraction at the end of Triumph. The second portion is an edited version of the track ""Dumbo's Triumph"" on the Dumbo motion picture soundtrack.",,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,13,So This is Love Waltz,,Disney's Cinderella,01:57,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,14,I'm Wishing / With a Smile and a Song,Kingstom Symphony Orchestra,Symphonic Magic,03:29,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,15,When You Wish Upon a Star (Instrumental),,,02:06,"Sounds like the version from the Pinocchio soundtrack, without the vocals.",,,,"December 1, 2011",
